ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S117.86,437 HENGAN PL,The Village of Mallory Square,Sumter,Bridgeport,649500,3,2.5,2075,"2 Car, plus Golf Car Garage",,28.89338446,-81.9590414,A,P,LM2YdD2RPAs,245214
S669.49,297 EMMALEE PL,The Village of Mallory Square,Sumter,Colony,299900,2,2,1156,"1 Car, plus Golf Car Garage",,28.89305273,-81.95490086,A,P,,245684
S671.20,974 SMYRNA ST,The Village of Sabal Chase,Sumter,Bonita,399555,3,2,1397,"1 Car, plus Golf Car Garage",,28.89221949,-81.97450358,A,P,kOi0kVi1Yoc,246903
S676.67,1119 SUMMERTON ST,The Village of Sabal Chase,Sumter,Woodlawn,359000,2,2,1258,"1 Car, plus Golf Car Garage",,28.89298822,-81.97802101,A,P,,246768
S676.73,1083 SUMMERTON ST,The Village of Sabal Chase,Sumter,Woodlawn,530000,2,2,1132,"1 Car, plus Golf Car Garage",Swimming Pool,28.89271982,-81.9772823,A,P,view.ricoh3,246381
S121.42,1760 POPPY CIR,The Village of Sabal Chase,Sumter,Lantana,695000,3,2,1978,2 Car Garage,Swimming Pool,28.88822013,-81.96996976,A,P,61t0ZTCYiRY,246338
S121.75,923 TALAPIA LOOP,The Village of Sabal Chase,Sumter,Gardenia,449000,3,2,1953,2 Car Garage,,28.88886885,-81.97201284,A,P,,246611
S121.90,988 TALAPIA LOOP,The Village of Sabal Chase,Sumter,Camellia,449000,3,2,1927,"2 Car, plus Golf Car Garage",,28.88841732,-81.97405967,A,P,,245011
S122.139,2212 BLACKVILLE DR,The Village of Largo,Sumter,Gardenia,699000,3,2,1926,2 Car Garage,,28.8833409,-81.97192114,A,P,6OQh3wdASt4,245278
S122.225,831 STARTEX ST,The Village of Largo,Sumter,Oleander,425000,3,2,1647,2 Car Garage,,28.88307083,-81.97064059,A,P,,246538
S122.246,845 YEMASSEE LOOP,The Village of Largo,Sumter,Whispering Pine,389669,3,2,1488,2 Car Garage,,28.88230384,-81.96978966,A,P,sVwO4zvkZb4,245046
S129.132,2151 JEM PATH,The Village of Amelia,Sumter,Begonia,524000,3,2,1895,"2 Car, plus Golf Car Garage",,28.88261106,-81.96171765,A,P,,245045
S129.190,587 KUHL LN,The Village of Amelia,Sumter,Gardenia,525000,3,2,1926,"2 Car, plus Golf Car Garage",,28.88197386,-81.96341281,A,P,,246492
S145.70,1489 MURRELLS INLET LOOP,The Village of Duval,Sumter,Laredo,299900,2,2,1100,"1 Car, plus Golf Car Garage",,28.87640362,-81.98691264,A,P,,244907
S145.111,1387 WALTERBORO LN,The Village of Duval,Sumter,Amarillo,348900,3,2,1527,2 Car Garage,,28.87682808,-81.98552925,A,P,,246445
S146.38,1631 BLOSSOM TER,The Village of Duval,Sumter,Amarillo,335000,3,2,1527,2 Car Garage,,28.87174298,-81.99203762,A,P,,246627
